Order Date,Sales,Trend,Seasonality,Residual
2015-01-31,14205.707,,-18307.338037384252,
2015-02-28,4519.892,,-27368.40266655093,
2015-03-31,55205.797,,1244.763034837964,
2015-04-30,27906.855,,-10787.508767939813,
2015-05-31,23644.303,,-4626.878630439817,
2015-06-30,34322.9356,,-11698.570527662036,
2015-07-31,33781.543,40148.90278333334,-9185.216915162036,2817.857131828696
2015-08-31,27117.5365,40619.43485,-11883.161587384258,-1618.736762615741
2015-09-30,81623.5268,39976.31153333333,27676.282184837954,13970.93308182872
2015-10-31,31453.393,39283.85882083334,-3114.680533217594,-4715.785287615745
2015-11-30,77907.66070000001,39807.310529166665,33224.106768171296,4876.243402662047
2015-12-31,68167.0585,39623.62994166667,34826.605677893516,-6283.1771195601905
2016-01-31,18066.9576,38961.26137500001,-18307.338037384252,-2586.9657376157556
2016-02-29,11951.411,39149.90811250001,-27368.40266655093,169.90555405092164
2016-03-31,32339.3184,38783.694983333335,1244.763034837964,-7689.139618171299
2016-04-30,34154.4685,37994.879304166665,-10787.508767939813,6947.097963773151
2016-05-31,29959.5305,37865.716108333334,-4626.878630439817,-3279.306977893516
2016-06-30,23599.374,38020.64450416667,-11698.570527662036,-2722.699976504631
2016-07-31,28608.259000000002,38306.147675,-9185.216915162036,-512.6717598379619
2016-08-31,36818.3422,38785.436733333336,-11883.161587384258,9916.067054050922
2016-09-30,63133.606,40029.317758333345,27676.282184837954,-4571.993943171299
2016-10-31,31011.7375,41002.277720833335,-3114.680533217594,-6875.859687615743
2016-11-30,75249.3995,42303.22255416666,33224.106768171296,-277.9298223379592
2016-12-31,74543.6012,44087.49294999999,34826.605677893516,-4370.497427893504
2017-01-31,18542.490999999998,45164.06111666666,-18307.338037384252,-8314.232079282407
2017-02-28,22978.815000000002,45307.24370416666,-27368.40266655093,5039.973962384269
2017-03-31,51165.059,45298.22882916666,1244.763034837964,4622.067135995374
2017-04-30,38679.767,46741.1905125,-10787.508767939813,2726.0852554398152
2017-05-31,56656.908,48090.7068375,-4626.878630439817,13193.079792939818
2017-06-30,39724.486,49132.899175,-11698.570527662036,2290.157352662034
2017-07-31,38320.783,51054.96179166666,-9185.216915162036,-3548.9618765046216
2017-08-31,30542.2003,51966.468683333325,-11883.161587384258,-9541.106795949067
2017-09-30,69193.3909,52159.82435833334,27676.282184837954,-10642.715643171294
2017-10-31,59583.033,52349.8450625,-3114.680533217594,10347.8684707176
2017-11-30,79066.4958,51684.47911666666,33224.106768171296,-5842.090084837953
2017-12-31,95739.121,51502.61727916666,34826.605677893516,9409.898042939822
2018-01-31,43476.474,52126.39072499999,-18307.338037384252,9657.421312384264
2018-02-28,19920.9974,53743.056087499994,-27368.40266655093,-6453.6560209490635
2018-03-31,58863.4128,55795.3537875,1244.763034837964,1823.2959776620378
2018-04-30,35541.9101,57246.37859166667,-10787.508767939813,-10916.959723726854
2018-05-31,43825.9822,59610.41015,-4626.878630439817,-11157.549319560188
2018-06-30,48190.7277,60700.53210833333,-11698.570527662036,-811.2338806712942
2018-07-31,44825.104,,-9185.216915162036,
2018-08-31,62837.848,,-11883.161587384258,
2018-09-30,86152.888,,27676.282184837954,
2018-10-31,77448.1312,,-3114.680533217594,
2018-11-30,117938.155,,33224.106768171296,
2018-12-31,83030.3888,,34826.605677893516,
