Year,Month Name,Sales
2015,January,14205.707
2015,February,4519.892
2015,March,55205.797
2015,April,27906.855
2015,May,23644.303
2015,June,34322.9356
2015,July,33781.543
2015,August,27117.5365
2015,September,81623.5268
2015,October,31453.393
2015,November,77907.66070000001
2015,December,68167.0585
2016,January,18066.9576
2016,February,11951.411
2016,March,32339.3184
2016,April,34154.4685
2016,May,29959.5305
2016,June,23599.374
2016,July,28608.259000000002
2016,August,36818.3422
2016,September,63133.606
2016,October,31011.7375
2016,November,75249.3995
2016,December,74543.6012
2017,January,18542.490999999998
2017,February,22978.815
2017,March,51165.059
2017,April,38679.767
2017,May,56656.908
2017,June,39724.486
2017,July,38320.783
2017,August,30542.2003
2017,September,69193.3909
2017,October,59583.033
2017,November,79066.4958
2017,December,95739.121
2018,January,43476.474
2018,February,19920.9974
2018,March,58863.4128
2018,April,35541.9101
2018,May,43825.9822
2018,June,48190.7277
2018,July,44825.104
2018,August,62837.848
2018,September,86152.888
2018,October,77448.1312
2018,November,117938.155
2018,December,83030.3888
